NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24234940,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234952,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234935,1 slot of bolt and nut section missing at valve section,3,to be rectified,remain,to be rectified,reinstate back with new bolts and nut
24234934,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234931,hand valve missing and damage at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234929,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234930,hand valve missing and damage at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234910,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24951013,100ge146 drain valve badly corroded,2,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts power brush tool and paint. rust grade d
24948338,100gf1179 temporary wrapping condition at pipe surface with no signifit wall loss due by radiographic testing and sign of leak observed temporary wood at support ,2,to be rectified,remain,to be rectified,didate for permanent replacement lift pipe clean surface. reinspect contact point install with new pipe support
25088917,100vb1165tbr01 depleted bolt or nuts between 2550 from original thickness,2,to be rectified,revise,to be painted,paint corroded flange bolts and nuts power brush tool and paint. rust grade d
25088933,100vb118tbr04 temporary wrapping,2,to be repaired/ replaced,revise,to be rectified,further assessment to identify type of wrapping propose to close. if paw type didate for composite wrapping as permanent repair
25088932,100vb118tbr04not fully engage,2,to be repaired/ replaced,revise,to be rectified,reinstall missing nuts. perform maintenance paint corroded parts
25085770,100vb124 severe crevice corrosion on pipe at pipe support,2,to be repaired/ replaced,revise,to be painted,paint corroded pipe and pipe support. powerbrush tool and paint. rust grade d
24951260,100vb787dissimilar material on flange lead to galvanic corrosion,2,to be rectified,revise,to be painted,paint corroded flange valve bolts and nuts power brush and paint. rust grade d. apply single pack zinc on space in between flanges
24993825,150vb7205 dissimilar material cs with ss at bolt and nuts with no isolation kits installed,2,to be rectified,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d. apply single pack zinc on space in between flanges
24947438,200gf1207 pipe surface direct contact with no vibration and no teflon sheet installed,2,to be rectified,remain,to be rectified,readjust pipe via rigging to insert kontac attach point covering wide circumference
24951344,200gf1x205 dissimilar material on flange lead to galvanic corrosion,2,to be rectified,remain,to be rectified,paint corroded flange bolts and nuts power brush and paint. rust grade d. apply single pack zinc on space in between flanges
24923705,200pg122 no teflon sheet installed and direct contact observed pipe smallbore in bend condition,2,to be rectified,remain,to be rectified,lift pipe clean surface. reinspect contact point install with new isolation pad and ubolts
24923704,200pg122 no teflon sheet installed and direct contact observed pipe smallbore in bend condition,2,to be rectified,remain,to be rectified,lift pipe clean surface. reinspect contact point install with new isolation pad and ubolts sectional replacement for bend pipe
25108576,200vb7164. galvanic corrosion noted on bolt due dissimilar material,2,to be repaired/ replaced,revise,to be painted,paint corroded bolts and nuts power brush tool and paint. rust grade d. assess on damage nut condition. 
25085517,200vf155 scaling corrosion that major wall loss expected when scaling being removed bolt depleted approximately 50 from original thickness,2,to be repaired/ replaced,revise,to be painted,paint corroded pipe power brush tool and paint. rust grade d. assess on depleted bolts and nut condition.apply single pack zinc on space in between flanges
25085727,200vf155 scaling corrosion that major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,paint corroded pipe and pipe support. powerbrush tool and paint. rust grade d. assess on corroded pipe condition. 
25085512,200vf177 bolt depleted,2,to be repaired/ replaced,revise,to be painted,paint corroded pipe flange bolts and nuts power brush tool and paint. rust grade d
24951255,250ge1108 dissimilar material on flange lead to galvanic corrosion,2,to be rectified,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d
24951253,250ge1112 dissimilar material on flange lead to galvanic corrosion,2,to be rectified,revise,to be painted,paint corroded flange valve bolts and nuts power brush and paint. rust grade d
24951341,250ge1113dissimilar material on flange lead to galvanic corrosion,2,to be rectified,revise,to be painted,paint corroded flange valve bolts and nuts power brush and paint. rust grade d
25061761,250pe113 nominal thickness 127mm as per original pm9 piping specremaining life10 months,2,to be repaired/ replaced,remain,to be repaired/ replaced,repair due to internal corrosion
